solar_radiation,temperature,electric_price_unit
63.0,29.5,8.0
63.0,29.5,8.0
63.0,29.5,8.0
63.0,29.5,8.0
63.0,29.5,8.0
63.0,29.5,8.0
63.0,29.5,8.0
63.0,29.5,8.0
63.0,29.5,8.0
63.0,29.5,8.0
63.0,29.5,8.0
166.0,29.5,8.0
166.0,29.5,8.0
166.0,29.5,8.0
166.0,29.5,8.0
166.0,29.5,8.0
166.0,29.5,8.0
166.0,29.5,8.0
166.0,29.5,8.0
166.0,29.6,8.0
166.0,29.6,8.0
166.0,29.6,8.0
166.0,29.6,8.0
166.0,29.6,8.0
166.0,29.6,8.0
166.0,29.6,8.0
166.0,29.5,8.0
166.0,29.5,8.0
166.0,29.5,8.0
166.0,29.5,8.0
166.0,29.5,8.0
166.0,29.5,8.0
166.0,29.5,8.0
166.0,29.4,8.0
166.0,29.4,8.0
166.0,29.4,8.0
166.0,29.4,8.0
166.0,29.4,8.0
166.0,29.4,8.0
166.0,29.4,8.0
166.0,29.4,8.0
166.0,29.4,8.0
166.0,29.4,8.0
166.0,29.4,8.0
166.0,29.4,8.0
166.0,29.5,8.0
166.0,29.5,8.0
166.0,29.5,8.0
166.0,29.5,8.0
166.0,29.6,8.0
166.0,29.6,8.0
166.0,29.6,8.0
166.0,29.7,8.0
166.0,29.7,8.0
166.0,29.7,8.0
166.0,29.7,8.0
166.0,29.8,8.0
166.0,29.8,8.0
166.0,29.8,8.0
166.0,29.9,8.0
166.0,29.9,8.0
166.0,29.9,8.0
166.0,30.0,8.0
